Parameter,Value,,,,,,,,,,,,,,,,,,
Number of Stages,3,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),159.65,,,,,,,,,,,,,,,,,,
Stage 2 Pressure (psia),154.65,,,,,,,,,,,,,,,,,,
Stage 3 Pressure (psia),14.75,,,,,,,,,,,,,,,,,,
Process Temperature (F),70,,,,,,,,,,,,,,,,,,
GOR [scf/stb],6529.420351,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,60.64357811,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,NITROUS_OXIDE
Dehy,Vapor,Well-Water.Stage1-Water.Stage2-Flash.DehyContactor-Flash,1,scf/scf,kg/scf,0.000512325,1.75E-05,9.10E-07,0.014656485,0.004483849,0.002912088,0.000970272,0.001209491,0.000524624,0.000356814,0.000247485,0.00017194,7.23E-09,
Dehy,Vapor,Well-Water.Stage1-Water.Stage2-Flash.DehyFlashTank-Flash,1,scf/scf,kg/scf,0.00179649,3.10E-06,4.35E-06,0.009994896,0.00811092,0.007251235,0.002609001,0.003735056,0.001677294,0.001194132,0.00081398,0.000600916,2.44E-08,
Dehy,Vapor,Well-Water.Stage1-Water.Stage2-Flash.DehyStillVent-Flash,1,scf/scf,kg/scf,0.003284922,1.23E-07,3.90E-05,0.001638839,0.005023892,0.008996954,0.004486411,0.009768715,0.007068326,0.006036396,0.0079915,0.011470128,1.17E-06,
,,,,,,,,,,,,,,,,,,,
Dehy,Vapor,Well-Water.Stage1-Flash.DehyContactor-Flash,1,scf/scf,kg/scf,0.000512325,1.75E-05,9.10E-07,0.014656485,0.004483849,0.002912088,0.000970272,0.001209491,0.000524624,0.000356814,0.000247485,0.00017194,7.23E-09,
Dehy,Vapor,Well-Water.Stage1-Flash.DehyFlashTank-Flash,1,scf/scf,kg/scf,0.00179649,3.10E-06,4.35E-06,0.009994896,0.00811092,0.007251235,0.002609001,0.003735056,0.001677294,0.001194132,0.00081398,0.000600916,2.44E-08,
Dehy,Vapor,Well-Water.Stage1-Flash.DehyStillVent-Flash,1,scf/scf,kg/scf,0.003284922,1.23E-07,3.90E-05,0.001638839,0.005023892,0.008996954,0.004486411,0.009768715,0.007068326,0.006036396,0.0079915,0.011470128,1.17E-06,
,,,,,,,,,,,,,,,,,,,
Dehy,Vapor,Well-Condensate.Stage1-Flash.DehyContactor-Flash,1,scf/scf,kg/scf,0.000512325,1.75E-05,9.10E-07,0.014656485,0.004483849,0.002912088,0.000970272,0.001209491,0.000524624,0.000356814,0.000247485,0.00017194,7.23E-09,
Dehy,Vapor,Well-Condensate.Stage1-Flash.DehyFlashTank-Flash,1,scf/scf,kg/scf,0.00179649,3.10E-06,4.35E-06,0.009994896,0.00811092,0.007251235,0.002609001,0.003735056,0.001677294,0.001194132,0.00081398,0.000600916,2.44E-08,
Dehy,Vapor,Well-Condensate.Stage1-Flash.DehyStillVent-Flash,1,scf/scf,kg/scf,0.003284922,1.23E-07,3.90E-05,0.001638839,0.005023892,0.008996954,0.004486411,0.009768715,0.007068326,0.006036396,0.0079915,0.011470128,1.17E-06,
=======
>>>>>>> 5cf616b4277ab986b81546b376aea759119161a4
