"Parameter","Value"
"Number of Stages","3"
"Stage 1 Pressure (psia)","159.65"
"Stage 2 Pressure (psia)","154.65"
"Stage 3 Pressure (psia)","14.75"
"Process Temperature (F)","70"
"GOR [scf/stb]","6529.42035116015"
"API gravity - stock tank condensate","60.6435781087129"
%%%ENDOFMETADATA%%%
"MajorEquipment","FluidFlow","Name","DriveFactor","DriveFactorUnits","GCUnits","Carbon Dioxide","Nitrogen","Hydrogen Sulfide","Methane","Ethane","Propane","Isobutane","Butane","Isopentane","Pentane","Hexane","Pseudocomponent 1","Pseudocomponent 2","NITROUS_OXIDE"
"Well","Condensate","Well-Condensate",7386.90360513982,"scf/bbl","kg/scf",0.00045293036733,1.5395464e-05,8.1471648e-07,0.01290911138572,0.00398065081325,0.0027468603603,0.00107471383292,0.00150543301612,0.0010245418326,0.0008417111352,0.00146584587542,0.00940641287700735,0.00353266625693392,NA
"Facility","Vapor","Facility-ProducedGas",6505.5344014909,"scf/bbl","kg/scf",0.00051283496412407,1.74809279943598e-05,9.14927483684808e-07,0.014654264741638,0.00448437803671833,0.00291339985698009,0.000970919885977295,0.00121088178097444,0.000525589142182435,0.000357630930191799,0.00024852523711842,0.000173405544889537,3.69253930485831e-09,NA
"Tank","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate.Tank-Flash",0.123613922309131,"mol/bbl","mol/mol",0.0103935779448542,4.31223072603705e-05,4.46334807053483e-05,0.255919657738144,0.212864669878812,0.224338170192987,0.0815542772761072,0.111955900960931,0.0445634845741833,0.0309454614854136,0.0183726963059093,0.00929682894449027,6.19026814573254e-08,NA
"Stage3","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Flash",211.189363125121,"mol/bbl","mol/mol",0.0103837421989252,4.62940462468065e-05,4.44638908031384e-05,0.259755956502624,0.212217186951657,0.223041270246239,0.0810270342774901,0.111209608439513,0.044253315618521,0.0307275318727952,0.0182389966793517,0.0092249509218389,6.13324587495498e-08,NA
"Stage2","Vapor","Well-Condensate.Stage1-Condensate.Stage2-Flash",2.99767205130335,"mol/bbl","mol/mol",0.00992566401496257,0.000483315856022963,2.24092333593649e-05,0.772943563964618,0.125295246635484,0.0519937675157849,0.0124391223590812,0.0152209206290906,0.00516295799026352,0.00349445308107878,0.00201960576526733,0.00108721924922359,1.12567391522932e-08,NA
"Stage1","Vapor","Well-Condensate.Stage1-Flash",7561.87823492565,"mol/bbl","mol/mol",0.00973095506256827,0.0005356211833785,2.18455140196547e-05,0.778421747959776,0.122322144546454,0.0505851169831491,0.0121039301995127,0.0148118592220238,0.00502909223020858,0.00340479330167548,0.00197076369175621,0.00106393148110685,1.11737127618682e-08,NA
"Well","Condensate","Well-Condensate",8829.56587922362,"mol/bbl","mol/mol",0.00861,0.00046,2e-05,0.67331,0.11075,0.05211,0.01547,0.02167,0.01188,0.00976,0.01423,0.0697367606092108,0.0119932393907892,NA
"Facility","Vapor","Facility-ProducedGas",7776.06527010207,"mol/bbl","mol/mol",0.00974875910206116,0.000522311433900629,2.24600215202424e-05,0.764333244820162,0.1247647409598,0.0552693790850918,0.01397593496611,0.0174300735487686,0.00609443051562063,0.00414688333408181,0.00241260979990944,0.00128558475269891,1.25360010321214e-08,NA
"Tank","Vapor","Well-Water.Stage1-Water.Tank-Flash",1,"bbl/bbl","kg/bbl",0,0,0,0.0332516542692722,0.0142243958175273,0.00702494970038512,0.00559446199137777,0.00224590084282467,0.000695960890173029,0.000471179065449542,0.00266532568401013,0.000184903794978767,4.2406605303434e-09,NA
"Tank","Vapor","Well-Water.Stage1-Water.Tank-Flash",2.88902659016971,"mol/bbl","mol/mol",0,0,0,0.717558566071997,0.163737766353073,0.055138264256682,0.0333181733117326,0.0133756049531709,0.00333885039917861,0.0022604666914109,0.0107051376394621,0.000567164366771082,5.95652242235934e-09,NA
"Tank","Vapor","Well-Water.Stage1-Water.Tank-Flash",2.41698869754013,"scf/bbl","kg/scf",0,0,0,0.0137574719745748,0.00588517266630336,0.00290648843643113,0.00231464135395895,0.000929214458102523,0.000287945446696271,0.000194944670584965,0.0011027464409423,7.65017209914763e-05,1.75452228413782e-09,NA
"Stage1","Vapor","Well-Water.Stage1-Flash",1,"bbl/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage1","Vapor","Well-Water.Stage1-Flash",0,"mol/bbl","mol/mol",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage1","Vapor","Well-Water.Stage1-Flash",0,"scf/bbl","kg/scf",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Tank","Vapor","Well-Water.Stage1-Water.Stage2-Water.Tank-Flash",1,"bbl/bbl","kg/bbl",0,0,0,0.0319835806145939,0.0141138123527862,0.0069944367896911,0.00556932623515662,0.00223564542469648,0.00069210952687597,0.000468441593597446,0.00264583852100291,0.000183033379944054,4.13837278233459e-09,NA
"Tank","Vapor","Well-Water.Stage1-Water.Stage2-Water.Tank-Flash",2.8046572406724,"mol/bbl","mol/mol",0,0,0,0.710956329156694,0.16735208118306,0.0565502288609458,0.0341662456728986,0.013715054136261,0.00342025667024067,0.0023149377705459,0.0109465446279048,0.000578315933740735,5.98770819996357e-09,NA
"Tank","Vapor","Well-Water.Stage1-Water.Stage2-Water.Tank-Flash",2.34640445132803,"scf/bbl","kg/scf",0,0,0,0.0136308898478656,0.00601508079512803,0.00298091694538524,0.00237355764987765,0.00095279627663131,0.000294965996371275,0.000199642305201183,0.00112761400512405,7.8005895292459e-05,1.76370820469264e-09,NA
"Stage2","Vapor","Well-Water.Stage1-Water.Stage2-Flash",1,"bbl/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage2","Vapor","Well-Water.Stage1-Water.Stage2-Flash",0,"mol/bbl","mol/mol",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage2","Vapor","Well-Water.Stage1-Water.Stage2-Flash",0,"scf/bbl","kg/scf",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage1","Water","Well-Water.Stage1-Water",0,"kg/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage2","Water","Well-Water.Stage1-Water.Stage2-Water",0,"kg/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Well","Water","Well-Water",0,"kg/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage 1","Condensate","Well-Condensate.Stage1-Condensate",0,"kg/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage 2","Condensate","Well-Condensate.Stage1-Condensate.Stage2-Condensate",0,"kg/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Stage 3","Condensate","Well-Condensate.Stage1-Condensate.Stage2-Condensate.Stage3-Condensate",0,"kg/bbl","kg/bbl",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Well","Vapor","Well-Vapor",0,"kg/scf","kg/scf",0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Compressor","Vapor","Facility-ProducedGas-Electric",1,"kg/kg","kg/kJ",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Compressor","Vapor","Facility-ProducedGas-4SLB",1,"kg/kg","kg/kJ",4.73e-05,1.36e-06,0,6.23e-07,3.05e-08,1.23e-08,1.61e-09,2.04e-09,0,6.58e-10,1.91e-10,0,0,NA
