Field,Value,Type of Entry,Notes,,
  Gerry,Roop
Profile Type,Emitter,Either Activity or EmitterIdentifies what is in this sheet or file
Name,G_C_Connector_Threaded,"Free form, but referenced in the Model Formulation"
Sector,Gathering,Free Form,Industry segment (free form field),,
Major Equipment,Compressor,Pick List,"Major equipment type, used for QC checks",,
Emitter,Connector_Threaded,Free Form,Name of the emitter,,
Active Mode,OP,"Pick List, dependent on major euqipment type","Mode when this is active, may be list of multiple mode IDs.",,
Distribution Type,Histogram,Pick List,Histogram or Analytic,,
Value Column Name,Emission Rate,,
Gas Type,WholeGas,Pick List,What is being emitted,,
Screened Components,30956.3638,FP Number
Emitting Components,778.46,FP Number,Emitting components must be <= screened components,,
Data Origin,"GEF Study, AvgFactor.xlsx, Sheet 'C Connector Flanged'",Free form,Anything you want,,
Notes,,
%%%ENDOFMETADATA%%%,,
Sample ID,Value,Frequency
765,38.375,36
766,38.425,33
767,38.475,40
768,38.525,37
769,38.575,22
770,38.625,29
771,38.675,26
772,38.725,34
773,38.775,33
774,38.825,39
775,38.875,35
776,38.925,38
777,38.975,33
778,39.025,25
779,39.075,38
780,39.125,24
781,39.175,34
782,39.225,32
783,39.275,23
784,39.325,34
785,39.375,19
786,39.425,24
787,39.475,17
788,39.525,20
789,39.575,19
790,39.625,24
791,39.675,30
792,39.725,22
793,39.775,16
794,39.825,25
795,39.875,20
796,39.925,24
797,39.975,11
798,40.025,18
799,40.075,19
800,40.125,10
801,40.175,7
802,40.225,11
803,40.275,18
804,40.325,10
805,40.375,14
806,40.425,10
807,40.475,15
808,40.525,4
809,40.575,9
810,40.625,10
811,40.675,6
812,40.725,7
813,40.775,7
814,40.825,3
815,40.875,5
816,40.925,3
817,40.975,1
818,41.025,1
819,41.075,5
820,41.125,1
821,41.175,5
822,41.275,2
823,41.325,4
824,41.375,7
825,41.425,6
826,41.475,1
827,41.525,1
828,41.575,1
829,41.625,7
830,41.675,3
831,41.725,3
832,41.775,3
833,41.825,2
834,41.875,3
835,41.925,1
836,42.025,3
837,42.075,5
838,42.125,2
839,42.175,1
840,42.275,2
841,42.325,4
842,42.375,3
843,42.425,2
844,42.475,4
845,42.525,2
846,42.575,1
847,42.625,2
848,42.675,3
849,42.725,1
850,42.775,2
851,42.825,2
852,42.875,7
853,42.975,3
854,43.025,2
855,43.075,1
856,43.125,5
857,43.225,7
858,43.275,6
859,43.325,1
860,43.375,4
861,43.425,3
862,43.475,1
863,43.525,1
864,43.575,2
865,43.625,9
866,43.675,15
867,43.725,6
868,43.775,9
869,43.825,7
870,43.875,5
871,43.925,10
872,43.975,6
873,44.025,10
874,44.075,8
875,44.125,5
876,44.175,11
877,44.225,15
878,44.275,14
879,44.325,13
880,44.375,13
881,44.425,16
882,44.475,9
883,44.525,21
884,44.575,13
885,44.625,19
886,44.675,26
887,44.725,17
888,44.775,11
889,44.825,18
890,44.875,9
891,44.925,8
892,44.975,26
893,45.025,20
894,45.075,27
895,45.125,27
896,45.175,19
897,45.225,16
898,45.275,23
899,45.325,16
900,45.375,23
901,45.425,17
902,45.475,19
903,45.525,16
904,45.575,15
905,45.625,24
906,45.675,21
907,45.725,12
908,45.775,20
909,45.825,21
910,45.875,20
911,45.925,11
912,45.975,17
913,46.025,10
914,46.075,13
915,46.125,8
916,46.175,14
917,46.225,14
918,46.275,14
919,46.325,7
920,46.375,12
921,46.425,20
922,46.475,14
923,46.525,14
924,46.575,14
925,46.625,10
926,46.675,3
927,46.725,8
928,46.775,8
929,46.825,16
930,46.875,6
931,46.925,7
932,46.975,8
933,47.075,2
934,47.125,3
935,47.175,6
936,47.225,17
937,47.275,13
938,47.325,6
939,47.375,13
940,47.425,15
941,47.475,1
942,47.525,7
943,47.575,13
944,47.625,3
945,47.675,8
946,47.725,7
947,47.775,9
948,47.825,12
949,47.875,15
950,47.925,18
951,47.975,21
952,48.025,14
953,48.075,15
954,48.125,10
955,48.175,6
956,48.225,13
957,48.275,14
958,48.325,13
959,48.375,9
960,48.425,10
961,48.475,20
962,48.525,9
963,48.575,7
964,48.625,22
965,48.675,14
966,48.725,25
967,48.775,21
968,48.825,20
969,48.875,12
970,48.925,13
971,48.975,16
972,49.025,17
973,49.075,16
974,49.125,11
975,49.175,12
976,49.225,13
977,49.275,9
978,49.325,13
