Parameter,Value,,,,,,,,,,,,,,,,,,,,,
Number of Stages,1,,,,,,,,,,,,,,,,,,,,,
Stage 1 Pressure (psia),64.65,,,,,,,,,,,,,,,,,,,,,
Process Temperature (F),100,,,,,,,,,,,,,,,,,,,,,
GOR [scf/stb],38043.26911,,,,,,,,,,,,,,,,,,,,,
API gravity - stock tank condensate,57.63363162,,,,,,,,,,,,,,,,,,,,,
%%%ENDOFMETADATA%%%,,,,,,,,,,,,,,,,,,,,,,
MajorEquipment,FluidFlow,Name,DriveFactor,DriveFactorUnits,GCUnits,Carbon Dioxide,Nitrogen,Hydrogen Sulfide,Methane,Ethane,Propane,Isobutane,Butane,Isopentane,Pentane,Hexane,Pseudocomponent 1,Pseudocomponent 2,DeltaH - Stage 1 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 2 Pressure to Pipeline Pressure (kJ/scf),DeltaH - Stage 3 Pressure to Pipeline Pressure (kJ/scf),LHV (kJ/scf)
Dehy,Vapor,Well-Condensate.Stage1-Flash.DehyContactor-Flash,1.0,scf/scf,kg/scf,0.0010234048792771,0.0019498551786895,6.162112463164504e-06,0.0135731410309324,0.0042643894728887,0.0029923448945024,0.0005496832232931,0.0012471571292305,0.0003205452692569,0.0002915976214123,0.0002974833980315,0.0003708299379968,7.581536983345973e-08,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Condensate.Stage1-Flash.DehyFlashTank-Flash,1.0,scf/scf,kg/scf,0.008550277095417,0.0001404048158053,8.932900381791796e-05,0.0080194425935134,0.0097656624120119,0.0107019525976562,0.0020603435401466,0.0061412377770793,0.0015183064335906,0.0015931238067236,0.0011944697421114,0.0017609352139351,2.166135318338885e-07,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Condensate.Stage1-Flash.DehyStillVent-Flash,1.0,scf/scf,kg/scf,0.01960625742824,5.673340912606825e-06,0.0010316637031819,0.0015045165241495,0.0075393334371008,0.0173586484076376,0.0047568386111382,0.0216869856898446,0.0089958219076326,0.0118359231584095,0.01811633858336,0.0567987822830764,2.0953806849822138e-05,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Default-LeakGc.DehyContactor-Flash,1.0,scf/scf,kg/scf,0.0010234048792771,0.0019498551786895,6.162112463164504e-06,0.0135731410309324,0.0042643894728887,0.0029923448945024,0.0005496832232931,0.0012471571292305,0.0003205452692569,0.0002915976214123,0.0002974833980315,0.0003708299379968,7.581536983345973e-08,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Default-LeakGc.DehyFlashTank-Flash,1.0,scf/scf,kg/scf,0.008550277095417,0.0001404048158053,8.932900381791796e-05,0.0080194425935134,0.0097656624120119,0.0107019525976562,0.0020603435401466,0.0061412377770793,0.0015183064335906,0.0015931238067236,0.0011944697421114,0.0017609352139351,2.166135318338885e-07,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Default-LeakGc.DehyStillVent-Flash,1.0,scf/scf,kg/scf,0.01960625742824,5.673340912606825e-06,0.0010316637031819,0.0015045165241495,0.0075393334371008,0.0173586484076376,0.0047568386111382,0.0216869856898446,0.0089958219076326,0.0118359231584095,0.01811633858336,0.0567987822830764,2.0953806849822138e-05,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Water.Stage1-Water.Tank-Flash.DehyContactor-Flash,1.0,scf/scf,kg/scf,0.0,0.0,0.0,0.0142266664365406,0.005728173586017,0.0030819027445662,0.0010133308710961,0.0010237968069586,0.0001908155614191,0.000173583478417,0.000555577906001,0.0001483001165289,3.0306143878018864e-08,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Water.Stage1-Water.Tank-Flash.DehyFlashTank-Flash,1.0,scf/scf,kg/scf,0.0,0.0,0.0,0.0084055661489775,0.0131178002933565,0.0110222511928789,0.0037982052677285,0.0050413692706279,0.000903823959728,0.0009483615489749,0.0022307833058756,0.0007042228004493,8.65882587673723e-08,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Water.Stage1-Water.Tank-Flash.DehyStillVent-Flash,1.0,scf/scf,kg/scf,0.0,0.0,0.0,0.0015769566299031,0.0101272669687276,0.017878175162143,0.0087691441347076,0.0178029425334068,0.0053550714122552,0.0070457389266827,0.0338339467719891,0.0227146332272568,8.375994030997502e-06,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Water.Stage1-Flash.DehyContactor-Flash,1.0,scf/scf,kg/scf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Water.Stage1-Flash.DehyFlashTank-Flash,1.0,scf/scf,kg/scf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Water.Stage1-Flash.DehyStillVent-Flash,1.0,scf/scf,kg/scf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Vapor.DehyContactor-Flash,1.0,scf/scf,kg/scf,0.0010234048792771,0.0019498551786895,6.162112463164504e-06,0.0135731410309324,0.0042643894728887,0.0029923448945024,0.0005496832232931,0.0012471571292305,0.0003205452692569,0.0002915976214123,0.0002974833980315,0.0003708299379968,7.581536983345973e-08,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Vapor.DehyFlashTank-Flash,1.0,scf/scf,kg/scf,0.008550277095417,0.0001404048158053,8.932900381791796e-05,0.0080194425935134,0.0097656624120119,0.0107019525976562,0.0020603435401466,0.0061412377770793,0.0015183064335906,0.0015931238067236,0.0011944697421114,0.0017609352139351,2.166135318338885e-07,1.0,1.0,1.0,4742.24567
Dehy,Vapor,Well-Vapor.DehyStillVent-Flash,1.0,scf/scf,kg/scf,0.01960625742824,5.673340912606825e-06,0.0010316637031819,0.0015045165241495,0.0075393334371008,0.0173586484076376,0.0047568386111382,0.0216869856898446,0.0089958219076326,0.0118359231584095,0.01811633858336,0.0567987822830764,2.0953806849822138e-05,1.0,1.0,1.0,4742.24567
